TeamAbbreviation,ACS,ADR,HS_Percent,FirstKills,FirstDeaths,Games Played,Team_TotalRounds,Team_RoundsFirstHalf,Team_RoundsSecondtHalf,Team_RoundsOT,Team_PistolWon,WinRate,Team_Eco_Conv,Team_SemiEco_Conv,Team_SemiBuy_Conv,Team_FullBuy_Conv
NV,211.66770833333334,134.47472527472527,0.23237362637362638,2.169791666666667,1.9142857142857144,192,11.458333333333334,6.892857142857143,4.488095238095238,0.07738095238095238,1.0773809523809523,67.26190476190477,42.29934924078091,22.222222222222225,60.47486033519554,62.312312312312315
PK,208.64641555285542,136.86148238153098,0.26308626974483595,2.222357229647631,1.9465370595382745,166,11.292682926829269,6.664634146341464,4.384146341463414,0.24390243902439024,1.1158536585365855,60.97560975609756,41.17647058823529,16.901408450704224,57.32394366197183,60.46859421734795
PRX,212.43255295429208,137.14715719063545,0.24269058295964124,2.2051282051282053,1.8721973094170403,181,11.444444444444445,6.95,4.2555555555555555,0.2388888888888889,0.9944444444444445,65.0,36.88073394495413,18.721461187214615,62.58389261744968,62.84722222222222
RNG,212.99233716475095,135.77748167888075,0.2381350267379679,2.1513409961685825,1.9558823529411764,314,11.666666666666666,8.333333333333334,3.3333333333333335,0.0,1.5833333333333333,75.0,67.85714285714285,21.428571428571427,62.903225806451616,66.94915254237287
Rise,206.90057803468207,131.38117647058823,0.22844705882352942,2.100578034682081,1.8929411764705881,173,10.593984962406015,6.398496240601504,4.082706766917293,0.11278195488721804,1.0601503759398496,59.3984962406015,41.644562334217504,17.28395061728395,53.56521739130435,59.480519480519476
SEN,215.95949367088608,136.12690355329948,0.20970408163265306,2.2835443037974685,1.8724489795918366,238,12.074866310160427,7.235294117647059,4.679144385026738,0.16042780748663102,1.1764705882352942,74.33155080213903,43.956043956043956,27.23404255319149,62.86072772898369,62.7155172413793
SMG,206.54155844155844,132.0922077922078,0.22515818431911966,2.142857142857143,2.0027397260273974,154,11.223776223776223,6.538461538461538,4.440559440559441,0.24475524475524477,1.0769230769230769,58.04195804195804,40.74074074074075,21.022727272727273,57.36842105263158,58.62068965517242
SQ,216.07083333333333,139.30261780104712,0.21769633507853403,2.1302083333333335,1.931937172774869,192,11.769633507853403,7.141361256544503,4.392670157068062,0.2356020942408377,1.2041884816753927,69.63350785340315,47.47081712062256,20.33195020746888,59.64705882352942,63.56453028972783
T1,213.69645390070923,136.85862068965517,0.23089655172413792,2.1390070921985815,1.7706896551724138,141,11.256880733944953,7.302752293577981,3.7889908256880735,0.1651376146788991,1.165137614678899,66.97247706422019,46.51162790697674,18.181818181818183,59.58904109589041,63.19936958234831
TB,203.15664335664334,130.5916083916084,0.24004195804195805,2.104895104895105,2.1664335664335663,143,10.741007194244604,6.0,4.482014388489208,0.2589928057553957,1.1366906474820144,51.07913669064749,37.77777777777778,15.384615384615385,52.46478873239436,56.970740103270224
TL,211.30564263322884,136.95924764890282,0.27308777429467085,2.2774294670846396,1.890282131661442,128,11.28125,6.5078125,4.5546875,0.21875,1.078125,63.28125,42.16524216524217,17.791411042944784,56.75675675675676,59.905660377358494
TS,203.46142857142857,131.91,0.24775714285714287,2.0114285714285716,2.0814285714285714,140,10.333333333333334,6.208333333333333,4.041666666666667,0.08333333333333333,1.1666666666666667,50.0,45.070422535211264,31.250000000000007,55.208333333333336,56.87732342007435
TSM,211.51615881809786,138.71122994652407,0.25285329744279944,2.159741458910434,1.7240915208613727,219,11.744525547445255,7.452554744525547,4.160583941605839,0.13138686131386862,1.145985401459854,73.72262773722628,45.77656675749319,30.519480519480524,65.87771203155818,64.39854191980558
Team,192.97877094972068,123.18529411764706,0.23069117647058823,1.824581005586592,2.2191176470588236,172,7.9743589743589745,4.6923076923076925,3.128205128205128,0.15384615384615385,0.7692307692307693,28.205128205128204,26.229508196721312,12.307692307692307,44.047619047619044,47.699757869249396
VLT,207.17866004962778,135.46774193548387,0.27132754342431764,2.138957816377171,1.9367245657568237,162,11.438709677419356,6.787096774193548,4.483870967741935,0.16774193548387098,1.1741935483870967,67.74193548387096,42.42424242424242,24.30939226519337,60.526315789473685,60.49766718506998
XSET,210.33138686131386,134.3036496350365,0.21246715328467153,2.230656934306569,1.9226277372262774,137,11.427480916030534,6.641221374045801,4.595419847328245,0.19083969465648856,1.16793893129771,64.12213740458014,46.89265536723164,21.768707482993197,56.20641562064156,59.33774834437086
forZ,208.7813953488372,133.6396551724138,0.25103448275862067,2.227906976744186,1.9344827586206896,130,11.635593220338983,6.779661016949152,4.669491525423729,0.1864406779661017,1.1101694915254237,66.94915254237289,41.86746987951807,17.218543046357617,58.43920145190562,61.3998613998614
